operation,prod01,,prod02,,prod03,,prod04,,prod05,,prod06,,prod07,,prod08,
# op,on/off,sec,on/off,sec,on/off,sec,on/off,sec,on/off,sec,on/off,sec,on/off,sec,on/off,sec
op01,0,177,1,42,0,149,0,74,0,120,0,25,0,62,0,171
op02,1,22,1,53,1,56,1,32,0,253,0,22,1,106,1,186
op03,1,188,0,59,0,183,0,67,1,73,0,25,0,7,1,55
op04,1,215,1,40,0,130,1,62,1,46,1,29,0,2,0,173
op05,0,236,0,57,0,119,1,3,1,580,0,27,0,88,1,93
op06,1,92,0,48,0,65,1,41,0,543,1,14,0,110,0,236
op07,0,75,0,36,1,38,1,55,0,353,1,9,1,81,1,184
op08,0,20,0,46,0,53,0,20,0,115,1,27,1,66,1,264
op09,0,9,1,13,1,106,0,43,1,277,1,12,1,122,1,250
op10,1,160,0,52,0,176,1,94,1,8,0,29,1,44,0,100
op11,0,70,0,14,1,47,1,43,1,379,0,14,1,30,1,78
op12,0,85,0,55,1,187,1,69,1,237,0,15,0,113,0,253
op13,1,153,1,9,1,27,0,14,1,460,0,28,0,40,0,188
op14,1,186,0,25,1,50,0,32,1,175,0,24,0,125,0,79
op15,0,13,1,3,0,133,0,92,0,306,0,13,1,55,0,50
op16,1,44,1,18,0,109,0,72,0,230,1,13,1,7,0,187
op17,0,121,1,15,1,40,1,79,1,582,0,19,1,96,1,99
op18,0,213,1,31,0,65,0,17,1,283,1,27,0,114,1,198
op19,0,271,0,13,0,17,0,77,0,598,0,14,0,10,0,185
op20,1,261,1,43,1,28,1,81,0,445,0,17,0,90,0,186
qty,14,,12,,12,,14,,17,,16,,6,,13,


